epoch,train_loss,evaluation_loss,evaluation_accuracy,evaluation_f1,epoch_duration_s,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
10,0.483999527990818,0.7813402116298676,0.68,0.6650023263542704,3.590751886367798,1746204297,checkpoint_000010,True,False,11,a69e7_00000,2025-05-02_11-44-57,3.678522825241089,49.062535524368286,22774,CENGR-LVPT2XMWDF,127.0.0.1,49.062535524368286,11
11,0.4591493919491768,0.8401368260383606,0.6933333333333334,0.6940061919504643,4.046009063720703,1746204301,checkpoint_000011,True,False,12,a69e7_00000,2025-05-02_11-45-01,3.956679344177246,53.01921486854553,22774,CENGR-LVPT2XMWDF,127.0.0.1,53.01921486854553,12
12,0.4505409300327301,0.8797115683555603,0.68,0.6776976892092432,3.9690029621124268,1746204305,checkpoint_000012,True,False,13,a69e7_00000,2025-05-02_11-45-05,3.9861419200897217,57.005356788635254,22774,CENGR-LVPT2XMWDF,127.0.0.1,57.005356788635254,13
13,0.38957954198122025,0.8269911706447601,0.6533333333333333,0.6544479275513758,3.6834499835968018,1746204309,checkpoint_000013,True,False,14,a69e7_00000,2025-05-02_11-45-09,3.696938991546631,60.702295780181885,22774,CENGR-LVPT2XMWDF,127.0.0.1,60.702295780181885,14
14,0.385519976913929,0.9228310286998749,0.6133333333333333,0.611652101539742,3.818265199661255,1746204312,checkpoint_000014,True,False,15,a69e7_00000,2025-05-02_11-45-12,3.839776039123535,64.54207181930542,22774,CENGR-LVPT2XMWDF,127.0.0.1,64.54207181930542,15
15,0.39800507575273514,0.7610644102096558,0.6666666666666666,0.6711397849462366,3.69635009765625,1746204316,checkpoint_000015,True,False,16,a69e7_00000,2025-05-02_11-45-16,4.022181034088135,68.56425285339355,22774,CENGR-LVPT2XMWDF,127.0.0.1,68.56425285339355,16
16,0.40176680088043215,0.7312778830528259,0.64,0.6452903225806451,3.8976340293884277,1746204320,checkpoint_000016,True,False,17,a69e7_00000,2025-05-02_11-45-20,3.638566255569458,72.20281910896301,22774,CENGR-LVPT2XMWDF,127.0.0.1,72.20281910896301,17
17,0.3612870663404465,0.8914175033569336,0.6666666666666666,0.6711397849462366,3.720768928527832,1746204324,checkpoint_000017,True,False,18,a69e7_00000,2025-05-02_11-45-24,3.7287442684173584,75.93156337738037,22774,CENGR-LVPT2XMWDF,127.0.0.1,75.93156337738037,18
18,0.33931161016225814,0.8631934523582458,0.6533333333333333,0.6580952380952382,3.5990421772003174,1746204327,checkpoint_000018,True,False,19,a69e7_00000,2025-05-02_11-45-28,3.813477039337158,79.74504041671753,22774,CENGR-LVPT2XMWDF,127.0.0.1,79.74504041671753,19
19,0.32903249710798266,0.9778453707695007,0.64,0.6447371273712736,3.9346089363098145,1746204331,checkpoint_000019,True,False,20,a69e7_00000,2025-05-02_11-45-31,3.7773191928863525,83.52235960960388,22774,CENGR-LVPT2XMWDF,127.0.0.1,83.52235960960388,20
20,0.32247552275657654,1.012535274028778,0.6933333333333334,0.692958705832269,3.9130029678344727,1746204335,checkpoint_000020,True,False,21,a69e7_00000,2025-05-02_11-45-35,3.923114061355591,87.44547367095947,22774,CENGR-LVPT2XMWDF,127.0.0.1,87.44547367095947,21
21,0.2890018060803413,1.0430717468261719,0.6533333333333333,0.6555993431855501,3.730350971221924,1746204339,checkpoint_000021,True,False,22,a69e7_00000,2025-05-02_11-45-39,3.7510368824005127,91.19651055335999,22774,CENGR-LVPT2XMWDF,127.0.0.1,91.19651055335999,22
22,0.26172230765223503,1.125935971736908,0.6666666666666666,0.6666011842563567,3.6217641830444336,1746204343,checkpoint_000022,True,False,23,a69e7_00000,2025-05-02_11-45-43,3.6469759941101074,94.84348654747009,22774,CENGR-LVPT2XMWDF,127.0.0.1,94.84348654747009,23
